id,providerid,providername,namezh,nameen,pathattributeid,pathattributename,pathattributeename,buildperiod,departurezh,departureen,destinationzh,destinationen,realsequence,distance,gofirstbustime,backfirstbustime,golastbustime,backlastbustime,peakheadway,offpeakheadway,bustimedesc,headwaydesc,holidaygofirstbustime,holidaybackfirstbustime,holidaygolastbustime,holidaybacklastbustime,holidaybustimedesc,holidaypeakheadway,holidayoffpeakheadway,holidayheadwaydesc,segmentbufferzh,segmentbufferen,ticketpricedescriptionzh,ticketpricedescriptionen
10772,16181,欣欣客運,249,249,162396,249繞崁頂,"249 Sub",10,國立臺灣科技大學華夏校區,"NTUST Hwa Hsia Campus.",臺北車站,"Taipei Main Station",43,22.8,0530,0530,2310,2310,1215,1520,,21:00時以後每30分乙班次,0540,0540,2310,2310,,15,20,21:00時以後每30分乙班次,(去)智光商職-重慶南路三段(中正橋)、(返)崁頂(中華路)-智光商職,"Chih-Kuang Senior Commercial & Industrial Vocational High School-Chongqing S. Road Sec. 3(Zhongzheng Bridge)；Kanding(Zhonghua Rd.)-Chih-Kuang Senior Commercial & Industrial Vocational High School",二段票,"Charge for 2 sections"
16258,16181,欣欣客運,819,819,157253,819,819,10,深坑站,"Shenkeng station",捷運七張站,"MRT Qizhang Sta.",40,30.6,0600,0600,2200,2200,,,,,0600,0600,2200,2200,,,,,,,一段票,"1 segments"
17479,16181,欣欣客運,290副萬和,"290Sub Wanhan",158635,290副萬和,"290sub Wanhan",10,景明街口,"Jingming St. Entrance",溪園路,"Xiyuan Rd.",99,16.5,0900,0900,1400,1400,,,,," "," "," "," ",,,,,,,一段票,"1 segments"
10784,16181,欣欣客運,290副,290Sub,158646,290副,"290 Sub",10,景明街口,"Jingming Rd. Entrance",溪園路,"Xiyuan Rd.",99,13.3,0600,0600,2100,2100,,,,,0600,0600,1930,1930,,,,,,,一段票,"1 segments"
16892,16240,永和區公所,F521,F521,158019,F521,F521,10,捷運頂溪站,"MRT Dingxi Sta.",仁愛公園,"Renai Park",99,99,0620,0620,2100,2100,,,,,0620,0620,2100,2100,,,,,,,,
16893,16240,永和區公所,F522,F522,158020,F522,F522,10,捷運頂溪站,"MRT Dingxi Sta.",耕莘醫院,"Cardinal Tien Hospital",99,99,0620,0620,2100,2100,,,,,0620,0620,2100,2100,,,,,,,,
16894,16240,永和區公所,F523,F523,158021,F523,F523,10,永平國小,"Yongping Elementary School",保順保生路,"Baoshun & Baosheng Intersection",99,99,0620,0620,2100,2100,,,,,0620,0620,2100,2100,,,,,,,,
16895,16240,永和區公所,F525,F525,158022,F525,F525,10,民權圖書館,"Minquan Library",遠東愛買,"Fareast Amart",99,99,0620,0620,2100,2100,,,,,0620,0620,2100,2100,,,,,,,,
16896,16240,永和區公所,F526,F526,158023,F526,F526,10,民本里,"Minben Village",民本里一,"Minben Village 1",99,99,0620,0620,2100,2100,,,,,0620,0620,2100,2100,,,,,,,,
16988,16254,汐止區公所,F901,F901,158115,F901汐碇路石頭公,"F901 Xiding Shitougong",10,順安抽水站,"Shunan Pumping Sta.",順安抽水站,"Shunan Pumping Sta.",99,99,0620,0620,2030,2030,,,,,0620,0620,2030,2030,,,,,,,,
16990,16254,汐止區公所,F902,F902,158117,F902,F902,10,汐止火車站,"Xizhi Railway Sta.",汐止火車站(公園),"Xizhi Rail Sta.(Gongyuan)",20,99,0630,0630,2030,2030,,,,"9點前因平日道路交通管制改走新興路 ",0630,0630,2030,2030,,,,,,,,
16993,16254,汐止區公所,F903,F903,158120,F903,F903,10,汐止,"Xizhi ",汐止車站,"Xizhi Sta.",99,99,0630,0630,1530,1530,,,,,0630,0630,1530,1530,,,,,,,,
16995,16254,汐止區公所,F905,F905,158122,F905,F905,10,汐止,Xizhi,汐止,Xizhi,99,99,0610,0610,2030,2030,,,,,0610,0610,2030,2030,,,,,,,,
16999,16254,汐止區公所,F907,F907,158126,F907,F907,10,汐止,Xizhi,汐止,Xizhi,99,99,0610,0610,2030,2030,,,,,0610,0610,2030,2030,,,,,,,,
17003,16254,汐止區公所,F919八連,"F919 Ba lian",158130,F919八連,"F919 Ba lian",10,汐止,Xizhi,汐止,Xizhi,99,99,0620,0620,1930,1930,,,,,0620,0620,1930,1930,,,,,,,,
17005,16254,汐止區公所,F910,F910,158132,F910,F910,10,汐止,Xizhi,汐止,Xizhi,99,99,0630,0630,1630,1630,,,,,0630,0630,1630,1630,,,,,,,,
17007,16254,汐止區公所,F911,F911,158134,F911,F911,10,汐止,Xizhi,汐止,Xizhi,8,99,0630,0630,1900,1900,,,,,0630,0630,1900,1900,,,,,,,,
17013,16254,汐止區公所,F915,F915,158140,F915,F915,10,北峰里(中興路),"Beifeng Li(Zhongxing Rd.)",金龍市場,"Jinlong Market",99,99,0620,0620,1830,1830,,,,,0620,0620,1830,1830,,,,,,,,
17433,16254,汐止區公所,F920,F920,158588,F920汐止,"F920 Xizhi",10,汐止,Xizhi,嶺腳車站,"Lingjiao Rail Sta.",99,99,0540,0635,1610,1705,,,,,0630,0720,1630,1720,,,,,,,,
17568,16254,汐止區公所,F913,F913,158738,F913,F913,10,國泰醫院(建成路),"Qiaodong Village(Jiancheng Rd.)",國泰醫院(建成路),"Qiaodong Village(Jiancheng Rd.)",99,99,0625,0625,1845,1845,,,,,0625,0625,1845,1845,,,,,,,,
17568,16254,汐止區公所,F913,F913,158739,F913延忠三街,"F913 Sub",10,國泰醫院(建成路),"Qiaodong Village(Jiancheng Rd.)",國泰醫院(建成路),"Qiaodong Village(Jiancheng Rd.)",99,99,0625,0625,1845,1845,,,,,0625,0625,1845,1845,,,,,,,,
16988,16254,汐止區公所,F901,F901,159011,F901順安抽水站,"F901 Shunan Pumping Sta.",10,順安抽水站,"Shunan Pumping Sta.",順安抽水站,"Shunan Pumping Sta.",99,99,0620,0620,2030,2030,,,,,0620,0620,2030,2030,,,,,,,,
17003,16254,汐止區公所,F919八連,"F919 Ba lian",159019,F919八連國家公園別墅,"F919 Ba lian Guojia Park Villa",10,汐止,Xizhi,汐止,Xizhi,99,99,0620,0620,1930,1930,,,,,0620,0620,1930,1930,,,,,,,,
17005,16254,汐止區公所,F910,F910,159020,F910停靠北港溪口至月牙泉,"F910 Beigang Xikou-Yueyaquan",10,汐止,Xizhi,汐止,Xizhi,99,99,0630,0630,1630,1630,,,,,0630,0630,1630,1630,,,,,,,,
17433,16254,汐止區公所,F920,F920,159024,F920嶺腳車站,"F920 Lingjiao Rail Sta.",10,汐止,Xizhi,嶺腳車站,"Lingjiao Rail Sta.",99,99,0540,0635,1610,1705,,,,,0630,0720,1630,1720,,,,,,,,
16999,16254,汐止區公所,F907,F907,161697,F907延國泰醫院(建成路),"F907 Sub",10,汐止,Xizhi,汐止,Xizhi,99,99,0610,0610,2030,2030,,,,,0610,0610,2030,2030,,,,,,,,
16999,16254,汐止區公所,F907,F907,161767,F907延汐止公園(對面),"F907 Sub",10,汐止,Xizhi,汐止,Xizhi,99,99,0610,0610,2030,2030,,,,,0610,0610,2030,2030,,,,,,,,
16990,16254,汐止區公所,F902,F902,162237,F902新興路,"F902 Xinxing Rd.",10,汐止火車站,"Xizhi Railway Sta.",汐止火車站(公園),"Xizhi Rail Sta.(Gongyuan)",20,99,0630,0630,2030,2030,,,,"9點前因平日道路交通管制改走新興路 ",0630,0630,2030,2030,,,,,,,,
19659,16254,汐止區公所,F909伯爵,"F909 Bo jiue",162260,F909伯爵,"F909 Bo jiue",10,汐止,Xizhi,汐止,Xizhi,99,99,0630,0630,1900,1900,,,,,0630,0630,1900,1900,,,,,,,,
16838,16233,泰山區公所,F217,F217,157965,F217,F217,10,明志路三段,"Mingzhi Rd. Sec. 3",林口長庚醫院,"Linkou Chang-Gung  Hospital",99,99,0800,0800,1500,1500,,,,"林口長庚醫院發車: 09:00 11:00 14:00 16:00"," "," "," "," ",,,,,,,,
16839,16233,泰山區公所,F218,F218,157966,F218明志路三段發車,F218,10,明志路三段,"Mingzhi Rd. Sec. 3",署立臺北醫院,"Taipei Hospital",99,99,0800,0800,1500,1500,,,,"署立臺北醫院發車: 09:00 11:00 14:00 16:00"," "," "," "," ",,,,,,,,
16840,16233,泰山區公所,F211,F211,157967,F211,F211,10,泰山公有市場,"Taishan Market",貴和社區,"Guihe Community",99,99,0620,0620,1710,1710,,,MRT泰山貴和站(明志路)0600發車,,0620,0620,1710,1710,,,,,,,,
16841,16233,泰山區公所,F212,F212,157968,F212,F212,10,泰山公有市場,"Taishan Market",泰山國中,"Taishan Junior High School",99,99,0550,0550,1720,1720,,,,,0625,0625,1720,1720,,,,,,,,
16842,16233,泰山區公所,F212楓江,"F212 Fengjiang",157969,F212楓江,"F212 Fengjiang",10,泰山公有市場,"Taishan Market",楓江路,fengjianglu,99,99,0650,0650,1620,1620,,,,,0725,0725,1620,1620,,,,,,,,
16843,16233,泰山區公所,F213,F213,157970,F213,F213,10,泰山公有市場,"Taishan Market",勝隆土雞城,Shenglong,99,99,0550,0550,1725,1725,,,,第一班勝隆土雞城發車,0620,0620,1650,1650,,,,第一班勝隆土雞城發車,,,,
16844,16233,泰山區公所,F213黎明,"F213 Liming",157971,F213黎明,"F213 Liming",10,泰山公有市場,"Taishan Market",麗園國小,"Liyuan Elementary School",99,99,0620,0620,0830,0830,,,,," "," "," "," ",,,,,,,,
17559,16233,泰山區公所,F212副,F212Sub,158729,F212副,"F212 Sub",10,泰山公有市場,"Taishan Market",貿商國宅,"Maoshang Public Housing",99,99,0640,0640,1800,1800,,,,,0640,0640,1800,1800,,,,,,,,
16840,16233,泰山區公所,F211,F211,159222,F211第一班,F211first,10,泰山公有市場,"Taishan Market",貴和社區,"Guihe Community",99,99,0620,0620,1710,1710,,,MRT泰山貴和站(明志路)0600發車,,0620,0620,1710,1710,,,,,,,,
16843,16233,泰山區公所,F213,F213,159223,F213第一班,F213first,10,泰山公有市場,"Taishan Market",勝隆土雞城,Shenglong,99,99,0550,0550,1725,1725,,,,第一班勝隆土雞城發車,0620,0620,1650,1650,,,,第一班勝隆土雞城發車,,,,
17559,16233,泰山區公所,F212副,F212Sub,162447,F212副明日城,"F212 Sub",10,泰山公有市場,"Taishan Market",貿商國宅,"Maoshang Public Housing",99,99,0640,0640,1800,1800,,,,,0640,0640,1800,1800,,,,,,,,
16752,16228,淡水區公所,F101坪頂,F101Pingding,157867,F101坪頂,"F101 Pingding",10,捷運淡水站,"MRT Tamsui Sta.",捷運淡水站,"MRT Tamsui Sta.",99,99,0520," ",2200," ",,,,,0520," ",2200," ",,,,,,,,
16760,16228,淡水區公所,F101樹興,F101shuxing,157887,F101樹興,"F101 shuxing",10,捷運淡水站,"MRT Tamsui Sta.",捷運淡水站,"MRT Tamsui Sta.",99,99,0540," ",2040," ",,,,,0540," ",2040," ",,,,,,,,
16761,16228,淡水區公所,F105,F105,157888,F105,F105,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0550,0550,2030,2030,,,,,0550,0550,2030,2030,,,,,,,,
16764,16228,淡水區公所,F106,F106,157891,F106延駛桂竹圍,F106,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0540,0540,1720,1720,,,,,0540,0540,1720,1720,,,,,,,,
16773,16228,淡水區公所,F105反,F105back,157900,F105反,"F105 back",10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,1000,1000,2130,2130,,,,,1000,1000,2130,2130,,,,,,,,
16774,16228,淡水區公所,F109,F109,157901,F109,F109,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0520,0520,2100,2100,,,,,0520,0520,2100,2100,,,,,,,,
16775,16228,淡水區公所,F102,F102,157902,F102,F102,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0530,2140,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16777,16228,淡水區公所,F103,F103,157904,F103,F103,10,捷運淡水站,"MRT Tamsui Sta.",捷運淡水站,"MRT Tamsui Sta.",99,99,0530,0530,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16775,16228,淡水區公所,F102,F102,158973,F102反向經鄒厝崙,F102,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0530,2140,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16752,16228,淡水區公所,F101坪頂,F101Pingding,162307,F101坪頂經文化大樓,"F101 Pingding Wenhua Building",10,捷運淡水站,"MRT Tamsui Sta.",捷運淡水站,"MRT Tamsui Sta.",99,99,0520," ",2200," ",,,,,0520," ",2200," ",,,,,,,,
16760,16228,淡水區公所,F101樹興,F101shuxing,162309,F101樹興經文化大樓,"F101 shuxing Wenhua Building",10,捷運淡水站,"MRT Tamsui Sta.",捷運淡水站,"MRT Tamsui Sta.",99,99,0540," ",2040," ",,,,,0540," ",2040," ",,,,,,,,
16760,16228,淡水區公所,F101樹興,F101shuxing,162310,F101樹興經南勢埔,"F101 Nanshipu",10,捷運淡水站,"MRT Tamsui Sta.",捷運淡水站,"MRT Tamsui Sta.",99,99,0540," ",2040," ",,,,,0540," ",2040," ",,,,,,,,
16775,16228,淡水區公所,F102,F102,162327,F102經淡水商工,F102,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0530,2140,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16775,16228,淡水區公所,F102,F102,162328,F102經淡水商工、鄒厝崙,F102,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0530,2140,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16775,16228,淡水區公所,F102,F102,162329,F102經鄒厝崙,F102,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0530,2140,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16775,16228,淡水區公所,F102,F102,162330,F102經市民農園,F102,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0530,2140,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16775,16228,淡水區公所,F102,F102,162331,F102經鄒厝崙、市民農園,F102,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0530,2140,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16775,16228,淡水區公所,F102,F102,162332,F102反向經鄒厝崙、市民農園,F102,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0530,2140,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16777,16228,淡水區公所,F103,F103,162357,F103經瓦窯坑,F103,10,捷運淡水站,"MRT Tamsui Sta.",捷運淡水站,"MRT Tamsui Sta.",99,99,0530,0530,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16777,16228,淡水區公所,F103,F103,162358,F103經山仔頂,F103,10,捷運淡水站,"MRT Tamsui Sta.",捷運淡水站,"MRT Tamsui Sta.",99,99,0530,0530,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16777,16228,淡水區公所,F103,F103,162359,F103經瓦窯坑、山仔頂,F103,10,捷運淡水站,"MRT Tamsui Sta.",捷運淡水站,"MRT Tamsui Sta.",99,99,0530,0530,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16777,16228,淡水區公所,F103,F103,162360,F103經腳後崙,F103,10,捷運淡水站,"MRT Tamsui Sta.",捷運淡水站,"MRT Tamsui Sta.",99,99,0530,0530,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16777,16228,淡水區公所,F103,F103,162361,F103經瓦窯坑、山仔頂、腳後崙,F103,10,捷運淡水站,"MRT Tamsui Sta.",捷運淡水站,"MRT Tamsui Sta.",99,99,0530,0530,2140,2140,,,,,0530," ",2140," ",,,,,,,,
16761,16228,淡水區公所,F105,F105,162363,F105經頂田寮14號、崙頂8號,F105,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0550,0550,2030,2030,,,,,0550,0550,2030,2030,,,,,,,,
16761,16228,淡水區公所,F105,F105,162364,F105經桂竹圍8號,F105,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0550,0550,2030,2030,,,,,0550,0550,2030,2030,,,,,,,,
16761,16228,淡水區公所,F105,F105,162365,F105經頂田寮14號、桂竹圍8號、崙頂8號,F105,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0550,0550,2030,2030,,,,,0550,0550,2030,2030,,,,,,,,
16761,16228,淡水區公所,F105,F105,162366,F105經頂田寮14號、桂竹圍8號,F105,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0550,0550,2030,2030,,,,,0550,0550,2030,2030,,,,,,,,
16773,16228,淡水區公所,F105反,F105back,162367,F105反經賢孝國中、崙頂8號,"F105 back",10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,1000,1000,2130,2130,,,,,1000,1000,2130,2130,,,,,,,,
16764,16228,淡水區公所,F106,F106,162374,F106經正德賢孝校區、經八里堆、延駛桂竹圍,F106,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0540,0540,1720,1720,,,,,0540,0540,1720,1720,,,,,,,,
16764,16228,淡水區公所,F106,F106,162375,F106經八里堆、前洲子,F106,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0540,0540,1720,1720,,,,,0540,0540,1720,1720,,,,,,,,
16764,16228,淡水區公所,F106,F106,162376,F106經八里堆,F106,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0540,0540,1720,1720,,,,,0540,0540,1720,1720,,,,,,,,
16764,16228,淡水區公所,F106,F106,162377,F106延駛桂竹圍、經前洲子,F106,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0540,0540,1720,1720,,,,,0540,0540,1720,1720,,,,,,,,
16774,16228,淡水區公所,F109,F109,162378,F109經湖底路,F109,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0520,0520,2100,2100,,,,,0520,0520,2100,2100,,,,,,,,
16774,16228,淡水區公所,F109,F109,162379,F109經鄒厝崙,F109,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0520,0520,2100,2100,,,,,0520,0520,2100,2100,,,,,,,,
16774,16228,淡水區公所,F109,F109,162380,F109延駛中寮,"F109 ",10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0520,0520,2100,2100,,,,,0520,0520,2100,2100,,,,,,,,
16774,16228,淡水區公所,F109,F109,162381,F109經湖底路、鄒厝崙、延駛中寮,F109,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0520,0520,2100,2100,,,,,0520,0520,2100,2100,,,,,,,,
16774,16228,淡水區公所,F109,F109,162382,F109經湖底路、延駛中寮,F109,10,捷運淡水站,"MRT Tamsui Sta.",華南銀行,"HuaNan Commercial Bank",99,99,0520,0520,2100,2100,,,,,0520,0520,2100,2100,,,,,,,,
16528,16186,淡水客運,860,860,157563,860,860,10,三芝,Sanzhi,捷運淡水站,"MRT Tamsui Sta.",75,34.3,0540,0540,2230,2230,0812,2530,,21:45班次配合867區間車僅行駛至捷運淡水站，自捷運淡水站於22:00後班距為30-60分,0540,0540,2230,2230,,2530,2530,21:40班次配合867區間車僅行駛至捷運淡水站，自捷運淡水站於22:00後班距為30-60分,灰瑤子-興化店,Huiyaozi-Xinghuadian,二段票,"Charge for 2 sections"
16529,16186,淡水客運,861,861,157564,861馬偕醫學大學,"861 Mackay Medical University",10,馬偕醫學大學,"Mackay Medical University",捷運淡水站,"MRT Tamsui Sta.",5,31.2,0555,0555,1700,1700,,,,"自三芝站發車: 05:55",0555,0555,1215,1215,,,,"自三芝站發車: 05:55",灰瑤子-興化店,Huiyaozi-Xinghuadian,二段票,"Charge for 2 sections"
16542,16186,淡水客運,879,879,157577,879馬偕醫學大學,"879 Mackay Medical University",10,馬偕醫學大學,"Mackay Medical University",關渡,Guandu,3,47.3,0645,0645,1530,1530,,,,," "," "," "," ",,,,,灰瑤子-興化店、輕軌淡金北新站-捷運紅樹林站,"Huiyaozi-Xinghuadian , Tamsui Qingge-MRT Hongshulin Station",三段票,"3 segments"
16543,16186,淡水客運,882,882,157578,882,882,10,馬偕醫學大學,"Mackay Medical University",捷運紅樹林站,"MRT Hongshulin Sta.",9,35.3,0600,1800,2000,1800,,,,,0700,0700,2000,2000,,,,,灰瑤子-興化店,Huiyaozi-Xinghuadian,二段票,"Charge for 2 sections"
16651,16186,淡水客運,864,864,157715,864,864,10,三芝,Sanzhi,捷運劍潭站,"MRT Jiantan Sta",2,66.3,0630,0630,1730,1730,,,,,1300,1300,1300,1300,,,,,灰瑤子-興化店，福德宮-捷運淡水站，捷運竹圍站-關渡國小(臺北城市科技大學),"Huiyaozi-Xinghuadian , Fude Temple-MRT Tamsui Station, MRT Zhuwei Station-Guandu Elementary School",四段票,"4 segments"
